epochs [0/10000] | MAE = 0.425680
epochs [500/10000] | MAE = 0.271366
epochs [1000/10000] | MAE = 0.243590
epochs [1500/10000] | MAE = 0.104037
epochs [2000/10000] | MAE = 0.106675
epochs [2500/10000] | MAE = 0.081031
epochs [3000/10000] | MAE = 0.076123
epochs [3500/10000] | MAE = 0.072516
epochs [4000/10000] | MAE = 0.071195
epochs [4500/10000] | MAE = 0.069639
epochs [5000/10000] | MAE = 0.067445
epochs [5500/10000] | MAE = 0.066163
epochs [6000/10000] | MAE = 0.063284
epochs [6500/10000] | MAE = 0.062455
epochs [7000/10000] | MAE = 0.062237
epochs [7500/10000] | MAE = 0.059498
epochs [8000/10000] | MAE = 0.057223
epochs [8500/10000] | MAE = 0.067449
epochs [9000/10000] | MAE = 0.061353
epochs [9500/10000] | MAE = 0.053968
mae 0.12581997481454163


lr = 0.001 -> lr 0.01
